error_pattern,correction,type,priority,confidence,frequency,created_at
รวมหนิสินและส่วนของผู้ถือหุ้น,รวมหนีสินและส่วนของผู้ถือหุ้น,character_fix,high,0.9,1,2025-11-25 19:26:00
รวมรายการอืน - สินทรัพย์หมุนเวียน,รวมรายการอื่น - สินทรัพย์หมุนเวียน,character_fix,high,0.9,1,2025-11-25 19:26:00
รวมส่วนของบริษัทใหญ่,รวมส่วนของบริษัทใหญ่,spacing,high,0.9,1,2025-11-25 19:26:00
31/05/2568,31/05/2568,date_format,high,0.9,1,2025-11-25 19:26:00
จํานวนหุ ้น - จดทะเบียน,จำนวนหุ้น - จดทะเบียน,character_fix,high,0.9,1,2025-11-25 19:26:00
จํานวนหุ ้น - ทีออกและเรียกชําระแล ว,จำนวนหุ้น - ที่ออกและเรียกชำระแล้ว,character_fix,high,0.9,1,2025-11-25 19:26:00
มูลค่าทีตราไว,มูลค่าที่ตราไว,character_fix,high,0.9,1,2025-11-25 19:26:00
ค้ างรับ,ค่างรับ,character_fix,high,0.9,1,2025-11-25 19:26:00
ค่าใช จ่ายค างจ่าย,ค่าใช้จ่ายค่างจ่าย,character_fix,high,0.9,1,2025-11-25 19:26:00
ข้อมูลเพิมเติมในส่วนของผู้,ข้อมูลเพิ่มเติมในส่วนของผู้,character_fix,high,0.9,1,2025-11-25 19:26:00
ถือหุ้น,ถือหุ้น,character_fix,high,0.9,1,2025-11-25 19:26:00
สินทรัพย์...,สินทรัพย์,cleanup,high,0.9,1,2025-11-25 19:26:00
สุทธิ...,สุทธิ,cleanup,high,0.9,1,2025-11-25 19:26:00
กําไร...,กำไร,cleanup,high,0.9,1,2025-11-25 19:26:00
ขาดทุน...,ขาดทุน,cleanup,high,0.9,1,2025-11-25 19:26:00
คํานวณ,คำนวณ,character_corruption,high,0.98,0,2025-11-25 18:49:37
รวมรายได,รวมรายได้,tone_mark_error,high,0.9,0,2025-11-25 19:07:09
ว,ถ,character_confusion,low,0.65,4793,2025-11-25 18:49:37
บ,ป,character_confusion,medium,0.7,5291,2025-11-25 18:49:37
ถ,ด,character_confusion,medium,0.75,916,2025-11-25 18:49:37
ขาดทุน,ขาดทุน,spacing_error,medium,0.9,150,2025-11-25 19:04:42
สุทธิ,สุทธิ,spacing_error,medium,0.85,11,2025-11-25 19:04:42
การปรับปรุงด,การปรับปรุงด้วย,character_corruption,medium,0.9,4,2025-11-25 19:07:09
ปป,ป,character_duplication,medium,0.9,2,2025-11-25 18:49:37
"COMPANY.,LTD.",COMPANY LTD,mixed_punctuation,medium,0.95,0,2025-11-25 19:04:42
สินทรัพย์,สินทรัพย์,character_validation,medium,0.85,0,2025-11-25 19:07:09
เงินได,เงินได้,tone_mark_error,medium,0.8,0,2025-11-25 19:07:09
