phrase_id,original_phrase,word_count,confidence_score,status,needs_correction,correction_suggestion,final_correction,correction_source,context,company_name,company_name_en,file_name,created_at,updated_at
141,จํานวนหุ ้น - จดทะเบียน,4,,reviewed,1,จำนวนหุ้น - จดทะเบียน,จำนวนหุ้น - จดทะเบียน,dictionary_character_fix,"Row 11, Col 0: จํานวนหุ ้น - จดทะเบียน...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
142,มูลค่าทีตราไว,1,,reviewed,1,มูลค่าที่ตราไว,มูลค่าที่ตราไว,dictionary_character_fix,"Row 12, Col 0: มูลค่าทีตราไว ( บาท ) - จด ทะเบียน...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
143,บาท,1,,reviewed,1,,,needs_manual_review,"Row 12, Col 0: มูลค่าทีตราไว ( บาท ) - จด ทะเบียน...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
146,มูลค่าทีตราไว,1,,reviewed,1,มูลค่าที่ตราไว,มูลค่าที่ตราไว,dictionary_character_fix,"Row 14, Col 0: มูลค่าทีตราไว ( บาท ) - ที ออกและเรียกชําระแล ว...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
147,บาท,1,,reviewed,1,,,needs_manual_review,"Row 14, Col 0: มูลค่าทีตราไว ( บาท ) - ที ออกและเรียกชําระแล ว...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
151,เงินสดและรายการเทียบเท่าเงินสด,1,,reviewed,1,เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,dictionary_spacing,"Row 2, Col 0: เงินสดและรายการเทียบเท่าเงินสด...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
153,สินค าคงเหลือ,2,,reviewed,1,สินค้าคงเหลือ,สินค้าคงเหลือ,dictionary_spacing,"Row 4, Col 0: สินค าคงเหลือ...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
154,สินทรัพย์หมุนเวียนอืน,1,,reviewed,1,สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,dictionary_character_fix,"Row 5, Col 0: สินทรัพย์หมุนเวียนอืน...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
183,สะสม,1,,reviewed,1,,,needs_manual_review,"Row 32, Col 0: กําไร ( ขาดทุน ) สะสม...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
189,ผู้ตรวจสอบบัญชี จันทร์เพ็ญ เตชะกําธร 31/05/2568,4,,reviewed,1,ผู้ตรวจสอบบัญชี: จันทร์เพ็ญ เตชะกําธร 31/05/2568,ผู้ตรวจสอบบัญชี: จันทร์เพ็ญ เตชะกําธร 31/05/2568,dictionary_spacing,"Row 0, Col 1: ผู้ตรวจสอบบัญชี จันทร์เพ็ญ เตชะกําธร 31/05/2568...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
190,รวมส่วนของบริษัทใหญ่,1,,reviewed,1,รวมส่วนของบริษัทใหญ่,รวมส่วนของบริษัทใหญ่,dictionary_spacing,"Row 1, Col 0: รวมส่วนของบริษัทใหญ่...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
191,รวมส่วนของผู้ถือหุ้น,1,,reviewed,1,รวมส่วนของผู้ถือหุ้น,รวมส่วนของผู้ถือหุ้น,dictionary_spacing,"Row 2, Col 0: รวมส่วนของผู้ถือหุ้น...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
193,คํานวณงบกระแสเงินสด โดยวิธีทางอ ้อม,3,,reviewed,1,คํานวณงบกระแสเงินสด โดยวิธีทางอ้อม,คํานวณงบกระแสเงินสด โดยวิธีทางอ้อม,dictionary_character_fix,"Row 0, Col 0: คํานวณงบกระแสเงินสด โดยวิธีทางอ ้อม...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
194,คํานวณงบกระแสเงินสด โดยวิธีทางอ ้อม,3,,reviewed,1,คํานวณงบกระแสเงินสด โดยวิธีทางอ้อม,คํานวณงบกระแสเงินสด โดยวิธีทางอ้อม,dictionary_character_fix,"Row 0, Col 0: คํานวณงบกระแสเงินสด โดยวิธีทางอ ้อม...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
201,การปรับปรุงด วยค่าใช จ่ายภาษี เงินได,4,,reviewed,1,การปรับปรุงด้วยค่าใช้จ่ายภาษีเงินได้,การปรับปรุงด้วยค่าใช้จ่ายภาษีเงินได้,dictionary_spacing,"Row 2, Col 0: การปรับปรุงด วยค่าใช จ่ายภาษี เงินได...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
202,การปรับปรุงด วยค่าใช จ่ายภาษี เงินได,4,,reviewed,1,การปรับปรุงด้วยค่าใช้จ่ายภาษีเงินได้,การปรับปรุงด้วยค่าใช้จ่ายภาษีเงินได้,dictionary_spacing,"Row 2, Col 0: การปรับปรุงด วยค่าใช จ่ายภาษี เงินได...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
205,กําไรจากกิจกรรมดําเนินงาน ก่อนการเปลียนแปลงใน สินทรัพย์และหนีสินดําเนินงาน,3,,reviewed,1,,,needs_manual_review,"Row 4, Col 0: กําไรจากกิจกรรมดําเนินงาน ก่อนการเปลียนแปลงใน สินท...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
206,กําไรจากกิจกรรมดําเนินงาน ก่อนการเปลียนแปลงใน สินทรัพย์และหนีสินดําเนินงาน,3,,reviewed,1,,,needs_manual_review,"Row 4, Col 0: กําไรจากกิจกรรมดําเนินงาน ก่อนการเปลียนแปลงใน สินท...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
215,สินทรัพย์หมุนเวียนอืน,1,,reviewed,1,สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,dictionary_character_fix,"Row 9, Col 0: สินทรัพย์หมุนเวียนอืน...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
216,สินทรัพย์หมุนเวียนอืน,1,,reviewed,1,สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,dictionary_character_fix,"Row 9, Col 0: สินทรัพย์หมุนเวียนอืน...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
221,ค่าใช จ่ายค างจ่าย,3,,reviewed,1,ค่าใช้จ่ายค่างจ่าย,ค่าใช้จ่ายค่างจ่าย,dictionary_character_fix,"Row 12, Col 0: ค่าใช จ่ายค างจ่าย...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
222,ค่าใช จ่ายค างจ่าย,3,,reviewed,1,ค่าใช้จ่ายค่างจ่าย,ค่าใช้จ่ายค่างจ่าย,dictionary_character_fix,"Row 12, Col 0: ค่าใช จ่ายค างจ่าย...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
266,ลดลง,1,,reviewed,1,,,needs_manual_review,"Row 0, Col 0: เงินสดและรายการเทียบเท่า เงินสดเพิมขึน ( ลดลง ) สุ...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
269,ลดลง,1,,reviewed,1,,,needs_manual_review,"Row 0, Col 0: เงินสดและรายการเทียบเท่า เงินสดเพิมขึน ( ลดลง ) สุ...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
279,เงินสดและรายการเทียบเท่าเงินสด,1,,reviewed,1,เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,dictionary_spacing,"Row 2, Col 0: เงินสดและรายการเทียบเท่าเงินสด...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
281,สินค าคงเหลือ,2,,reviewed,1,สินค้าคงเหลือ,สินค้าคงเหลือ,dictionary_spacing,"Row 4, Col 0: สินค าคงเหลือ...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
282,สินทรัพย์หมุนเวียนอืน,1,,reviewed,1,สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,dictionary_character_fix,"Row 5, Col 0: สินทรัพย์หมุนเวียนอืน...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
311,สะสม,1,,reviewed,1,,,needs_manual_review,"Row 32, Col 0: กําไร ( ขาดทุน ) สะสม...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
317,ผู้ตรวจสอบบัญชี จันทร์เพ็ญ เตชะกําธร 31/05/2568,4,,reviewed,1,ผู้ตรวจสอบบัญชี: จันทร์เพ็ญ เตชะกําธร 31/05/2568,ผู้ตรวจสอบบัญชี: จันทร์เพ็ญ เตชะกําธร 31/05/2568,dictionary_spacing,"Row 0, Col 1: ผู้ตรวจสอบบัญชี จันทร์เพ็ญ เตชะกําธร 31/05/2568...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
318,รวมส่วนของบริษัทใหญ่,1,,reviewed,1,รวมส่วนของบริษัทใหญ่,รวมส่วนของบริษัทใหญ่,dictionary_spacing,"Row 1, Col 0: รวมส่วนของบริษัทใหญ่...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
319,รวมส่วนของผู้ถือหุ้น,1,,reviewed,1,รวมส่วนของผู้ถือหุ้น,รวมส่วนของผู้ถือหุ้น,dictionary_spacing,"Row 2, Col 0: รวมส่วนของผู้ถือหุ้น...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
342,สินทรัพย์หมุนเวียนอืน,1,,reviewed,1,สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,dictionary_character_fix,"Row 9, Col 0: สินทรัพย์หมุนเวียนอืน...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
357,ค่าใช จ่ายค างจ่าย,3,,reviewed,1,ค่าใช้จ่ายค่างจ่าย,ค่าใช้จ่ายค่างจ่าย,dictionary_character_fix,"Row 24, Col 0: ค่าใช จ่ายค างจ่าย...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
370,สะสม,1,,reviewed,1,,,needs_manual_review,"Row 6, Col 0: กําไร ( ขาดทุน ) สะสม...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
371,รวมส่วนของผู้ถือหุ้น,1,,reviewed,1,รวมส่วนของผู้ถือหุ้น,รวมส่วนของผู้ถือหุ้น,dictionary_spacing,"Row 7, Col 0: รวมส่วนของผู้ถือหุ้น...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
373,ข้อมูลเพิมเติมในส่วนของผู้,1,,reviewed,1,ข้อมูลเพิ่มเติมในส่วนของผู้,ข้อมูลเพิ่มเติมในส่วนของผู้,dictionary_character_fix,"Row 9, Col 0: ข้อมูลเพิมเติมในส่วนของผู้...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
374,ถือหุ้น,1,,reviewed,1,ถือหุ้น,ถือหุ้น,dictionary_character_fix,"Row 10, Col 0: ถือหุ้น...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
375,จํานวนหุ ้น - จดทะเบียน,4,,reviewed,1,จำนวนหุ้น - จดทะเบียน,จำนวนหุ้น - จดทะเบียน,dictionary_character_fix,"Row 11, Col 0: จํานวนหุ ้น - จดทะเบียน...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
376,มูลค่าทีตราไว,1,,reviewed,1,มูลค่าที่ตราไว,มูลค่าที่ตราไว,dictionary_character_fix,"Row 12, Col 0: มูลค่าทีตราไว ( บาท ) - จด ทะเบียน...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
377,บาท,1,,reviewed,1,,,needs_manual_review,"Row 12, Col 0: มูลค่าทีตราไว ( บาท ) - จด ทะเบียน...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
380,มูลค่าทีตราไว,1,,reviewed,1,มูลค่าที่ตราไว,มูลค่าที่ตราไว,dictionary_character_fix,"Row 14, Col 0: มูลค่าทีตราไว ( บาท ) - ที ออกและเรียกชําระแล ว...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
381,บาท,1,,reviewed,1,,,needs_manual_review,"Row 14, Col 0: มูลค่าทีตราไว ( บาท ) - ที ออกและเรียกชําระแล ว...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
413,เดิม,1,,reviewed,1,,,needs_manual_review,"Row 2, Col 0: เลขทะเบียนนิติบุคคล ( เดิม ):...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
464,ไทย,1,,reviewed,1,,,needs_manual_review,"Row 0, Col 1: ไทย...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
468,รวม,1,,reviewed,1,,,needs_manual_review,"Row 3, Col 0: รวม...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
469,รวม,1,,reviewed,1,,,needs_manual_review,"Row 3, Col 1: รวม...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
471,ไทย,1,,reviewed,1,,,needs_manual_review,"Row 0, Col 4: ไทย...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
492,รวม,1,,reviewed,1,,,needs_manual_review,"Row 11, Col 1: รวม...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
495,เงินสดและรายการเทียบเท่าเงินสด,1,,reviewed,1,เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,dictionary_spacing,"Row 2, Col 0: เงินสดและรายการเทียบเท่าเงินสด...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
498,สินค าคงเหลือ,2,,reviewed,1,สินค้าคงเหลือ,สินค้าคงเหลือ,dictionary_spacing,"Row 5, Col 0: สินค าคงเหลือ...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
525,สะสม,1,,reviewed,1,,,needs_manual_review,"Row 30, Col 0: กําไร ( ขาดทุน ) สะสม...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
527,รวมส่วนของบริษัทใหญ่,1,,reviewed,1,รวมส่วนของบริษัทใหญ่,รวมส่วนของบริษัทใหญ่,dictionary_spacing,"Row 32, Col 0: รวมส่วนของบริษัทใหญ่...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
528,รวมส่วนของผู้ถือหุ้น,1,,reviewed,1,รวมส่วนของผู้ถือหุ้น,รวมส่วนของผู้ถือหุ้น,dictionary_spacing,"Row 33, Col 0: รวมส่วนของผู้ถือหุ้น...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
532,เท่า,1,,reviewed,1,,,needs_manual_review,"Row 1, Col 0: อัตราส่วนทุนหมุนเวียน ( เท่า )...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
534,เท่า,1,,reviewed,1,,,needs_manual_review,"Row 2, Col 0: อัตราส่วนทุนหมุนเวียน เร็ว ( เท่า )...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
537,เท่า,1,,reviewed,1,,,needs_manual_review,"Row 4, Col 0: อัตราการหมุนเวียนสินทรัพย์ รวม ( เท่า )...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
539,เท่า,1,,reviewed,1,,,needs_manual_review,"Row 5, Col 0: อัตราการหมุนเวียนสินทรัพย์ ถาวร ( เท่า )...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
541,วัน,1,,reviewed,1,,,needs_manual_review,"Row 6, Col 0: ระยะเวลาเก็บหนี ( วัน )...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
543,เท่า,1,,reviewed,1,,,needs_manual_review,"Row 7, Col 0: อัตราส่วนหมุนเวียนลูกหนี การค้ า ( เท่า )...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
545,วัน,1,,reviewed,1,,,needs_manual_review,"Row 8, Col 0: ระยะเวลาขายสินค าเฉลีย ( วัน )...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
547,เท่า,1,,reviewed,1,,,needs_manual_review,"Row 9, Col 0: อัตราส่วนหมุนเวียนสินค ้าคง เหลือ ( เท่า )...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
549,วัน,1,,reviewed,1,,,needs_manual_review,"Row 10, Col 0: ระยะเวลาชําระหนี ( วัน )...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
551,เท่า,1,,reviewed,1,,,needs_manual_review,"Row 11, Col 0: อัตราส่วนหมุนเวียนเจ าหนี การค้ า ( เท่า )...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
562,เท่า,1,,reviewed,1,,,needs_manual_review,"Row 21, Col 0: อัตราส่วนหนีสินรวมต่อ สินทรัพย์รวม ( เท่า )...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
564,เท่า,1,,reviewed,1,,,needs_manual_review,"Row 22, Col 0: อัตราส่วนหนีสินต่อส่วนของผู ถือหุ ้น ( เท่า )...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
568,เท่า,1,,reviewed,1,,,needs_manual_review,"Row 1, Col 0: อัตราส่วนความสามารถชําระ ดอกเบีย ( เท่า )...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
575,คํานวณงบกระแสเงินสด โดยวิธีทางอ ้อม,3,,reviewed,1,คํานวณงบกระแสเงินสด โดยวิธีทางอ้อม,คํานวณงบกระแสเงินสด โดยวิธีทางอ้อม,dictionary_character_fix,"Row 0, Col 0: คํานวณงบกระแสเงินสด โดยวิธีทางอ ้อม...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
581,กําไรจากกิจกรรมดําเนินงาน ก่อนการเปลียนแปลงใน สินทรัพย์และหนีสินดําเนิน งาน,4,,reviewed,1,,,needs_manual_review,"Row 4, Col 0: กําไรจากกิจกรรมดําเนินงาน ก่อนการเปลียนแปลงใน สินท...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
605,ลดลง,1,,reviewed,1,,,needs_manual_review,"Row 21, Col 0: เงินสดและรายการเทียบเท่า เงินสดเพิมขึน ( ลดลง ) สุ...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
637,เดิม,1,,reviewed,1,,,needs_manual_review,"Row 1, Col 0: เลขทะเบียนนิติบุคคล ( เดิม ):...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
647,39/4 ซอยบางนา - ตราด 25 ถนนบางนาตราด แขวงบางนา เขตบางนา จังหวัดกรุงเทพมหานคร 10260,10,,reviewed,1,,,needs_manual_review,"Row 6, Col 1: 39/4 ซอยบางนา - ตราด 25 ถนนบางนาตราด แขวงบางนา เขต...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
653,การผลิตผลิตภัณฑ์โลหะประดิษฐ์อืนๆซึงมิได จัด ประเภทไว้ ในทีอืน,4,,reviewed,1,,,needs_manual_review,"Row 9, Col 1: ( ล่าสุด ) 1. การผลิตผลิตภัณฑ์โลหะประดิษฐ์อืนๆซึงม...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
654,การผลิตผลิตภัณฑ์โลหะประดิษฐ์อืนๆซึงมิได จัด ประเภทไว้ ในทีอืน,4,,reviewed,1,,,needs_manual_review,"Row 9, Col 1: ( ล่าสุด ) 1. การผลิตผลิตภัณฑ์โลหะประดิษฐ์อืนๆซึงม...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
691,บจก,1,,reviewed,1,,บจก.,dictionary_abbreviation_punctuation,"Row 1, Col 1: โฮชุง อินดัสเตรียล ( ประเทศไทย ) ( บจก .)...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
700,สินทรัพย์หมุนเวียนอืน,1,,reviewed,1,สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,dictionary_character_fix,"Row 8, Col 0: สินทรัพย์หมุนเวียนอืน...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
714,ค่าใช จ่ายค างจ่าย,3,,reviewed,1,ค่าใช้จ่ายค่างจ่าย,ค่าใช้จ่ายค่างจ่าย,dictionary_character_fix,"Row 22, Col 0: ค่าใช จ่ายค างจ่าย...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
727,สะสม,1,,reviewed,1,,,needs_manual_review,"Row 4, Col 0: กําไร ( ขาดทุน ) สะสม...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
728,รวมส่วนของผู้ถือหุ้น,1,,reviewed,1,รวมส่วนของผู้ถือหุ้น,รวมส่วนของผู้ถือหุ้น,dictionary_spacing,"Row 5, Col 0: รวมส่วนของผู้ถือหุ้น...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
731,จํานวนหุ ้น - จดทะเบียน,4,,reviewed,1,จำนวนหุ้น - จดทะเบียน,จำนวนหุ้น - จดทะเบียน,dictionary_character_fix,"Row 8, Col 0: จํานวนหุ ้น - จดทะเบียน...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
732,มูลค่าทีตราไว,1,,reviewed,1,มูลค่าที่ตราไว,มูลค่าที่ตราไว,dictionary_character_fix,"Row 9, Col 0: มูลค่าทีตราไว ( บาท ) - จด ทะเบียน...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
733,บาท,1,,reviewed,1,,,needs_manual_review,"Row 9, Col 0: มูลค่าทีตราไว ( บาท ) - จด ทะเบียน...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
736,มูลค่าทีตราไว,1,,reviewed,1,มูลค่าที่ตราไว,มูลค่าที่ตราไว,dictionary_character_fix,"Row 11, Col 0: มูลค่าทีตราไว ( บาท ) - ที ออกและเรียกชําระแล ว...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
737,บาท,1,,reviewed,1,,,needs_manual_review,"Row 11, Col 0: มูลค่าทีตราไว ( บาท ) - ที ออกและเรียกชําระแล ว...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
740,บจก,1,,reviewed,1,,บจก.,dictionary_abbreviation_punctuation,"Row 0, Col 1: สโตเรจซิสเต็ม อินดัส ตรี ( บจก .)...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
741,เอ็ม,1,,reviewed,1,,,needs_manual_review,"Row 1, Col 1: ที . เอ็ม . อินดัสตรี ( บจก .)...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
743,บจก,1,,reviewed,1,,บจก.,dictionary_abbreviation_punctuation,"Row 1, Col 1: ที . เอ็ม . อินดัสตรี ( บจก .)...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
745,บจก,1,,reviewed,1,,บจก.,dictionary_abbreviation_punctuation,"Row 2, Col 1: ทีแมกซ์ โลจิสติกส์ ( บจก .)...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
