phrase_text,group_size,confidence_score,priority,final_correction,correction_source,source_documents,unique_companies,total_instances,best_file_name,context
ไทย,29,,HIGH_MULTI_FILE,,needs_manual_review,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_Shareholders.pdf; บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_Shareholders.pdf; บริษัท ภัทรมารีน จำกัด_Shareholders.pdf; บริษัท วัฒนาวิชั่นกรุ๊ป จำกัด_Shareholders.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_Shareholders.pdf; บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_Shareholders.pdf; บริษัท ไทจีนิค จำกัด_Shareholders.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_Shareholders.pdf; ใบตาล เทอร์บายน์ จำกัด_Shareholders.pdf,Uncategorized; ไม่ระบุบริษัท,29,,"Row 0, Col 1: ไทย..."
คํานวณงบกระแสเงินสด โดยวิธีทางอ ้อม,28,,HIGH_MULTI_FILE,คํานวณงบกระแสเงินสด โดยวิธีทางอ้อม,dictionary_character_fix,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_Cash Flow.pdf; บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_Cash Flow.pdf; บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_Cash Flow.pdf; บริษัท วัฒนาวิชั่นกรุ๊ป จำกัด_Cash Flow.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_Cash Flow.pdf; บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_Cash Flow.pdf; บริษัท ไทจีนิค จำกัด_Cash Flow.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_Cash Flow.pdf; ใบตาล เทอร์บายน์ จำกัด_Cash Flow.pdf,Uncategorized; ไม่ระบุบริษัท,28,,"Row 0, Col 0: คํานวณงบกระแสเงินสด โดยวิธีทางอ ้อม..."
รวมส่วนของบริษัทใหญ่,27,,HIGH_MULTI_FILE,รวมส่วนของบริษัทใหญ่,dictionary_spacing,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_BS67.pdf; บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_BS67.pdf; บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_BS67.pdf; บริษัท ภัทรมารีน จำกัด_BS67.pdf; บริษัท วัฒนาวิชั่นกรุ๊ป จำกัด_BS67.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_BS67.pdf; บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_BS67.pdf; บริษัท ไทจีนิค จำกัด_BS67.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_BS67.pdf; ใบตาล เทอร์บายน์ จำกัด_BS67.pdf,Uncategorized; ไม่ระบุบริษัท,27,,"Row 1, Col 0: รวมส่วนของบริษัทใหญ่..."
เงินสดและรายการเทียบเท่าเงินสด,27,,HIGH_MULTI_FILE,เงินสดและรายการเทียบเท่าเงินสด,dictionary_spacing,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_BS67.pdf; บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_BS67.pdf; บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_BS67.pdf; บริษัท ภัทรมารีน จำกัด_BS67.pdf; บริษัท วัฒนาวิชั่นกรุ๊ป จำกัด_BS67.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_BS67.pdf; บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_BS67.pdf; บริษัท ไทจีนิค จำกัด_BS67.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_BS67.pdf; ใบตาล เทอร์บายน์ จำกัด_BS67.pdf,Uncategorized; ไม่ระบุบริษัท,27,,"Row 2, Col 0: เงินสดและรายการเทียบเท่าเงินสด..."
จํานวนหุ ้น - จดทะเบียน,25,,HIGH_MULTI_FILE,จำนวนหุ้น - จดทะเบียน,dictionary_character_fix,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_Compare BS.pdf; บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_Compare BS.pdf; บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_Compare BS.pdf; บริษัท ภัทรมารีน จำกัด_Compare BS.pdf; บริษัท วัฒนาวิชั่นกรุ๊ป จำกัด_Compare BS.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_Compare BS.pdf; บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_Compare BS.pdf; บริษัท ไทจีนิค จำกัด_Compare BS.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_Compare BS.pdf; ใบตาล เทอร์บายน์ จำกัด_Compare BS.pdf,Uncategorized; ไม่ระบุบริษัท,25,,"Row 11, Col 0: จํานวนหุ ้น - จดทะเบียน..."
สินค าคงเหลือ,23,,HIGH_MULTI_FILE,สินค้าคงเหลือ,dictionary_spacing,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_BS67.pdf; บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_BS67.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_BS67.pdf; บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_BS67.pdf; บริษัท ไทจีนิค จำกัด_BS67.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_BS67.pdf; ใบตาล เทอร์บายน์ จำกัด_BS67.pdf,Uncategorized; ไม่ระบุบริษัท,23,,"Row 4, Col 0: สินค าคงเหลือ..."
ลดลง,22,,HIGH_MULTI_FILE,,needs_manual_review,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_Cash Flow.pdf; บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_Cash Flow.pdf; บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_Cash Flow.pdf; บริษัท ภัทรมารีน จำกัด_Cash Flow.pdf; บริษัท วัฒนาวิชั่นกรุ๊ป จำกัด_Cash Flow.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_Cash Flow.pdf; บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_Cash Flow.pdf; บริษัท ไทจีนิค จำกัด_Cash Flow.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_Cash Flow.pdf; ใบตาล เทอร์บายน์ จำกัด_Cash Flow.pdf,Uncategorized; ไม่ระบุบริษัท,22,,"Row 0, Col 0: เงินสดและรายการเทียบเท่า เงินสดเพิมขึน ( ลดลง ) สุ..."
การปรับปรุงด วยค่าใช จ่ายภาษี เงินได,12,,HIGH_MULTI_FILE,การปรับปรุงด้วยค่าใช้จ่ายภาษีเงินได้,dictionary_spacing,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_Cash Flow.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_Cash Flow.pdf; บริษัท ไทจีนิค จำกัด_Cash Flow.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_Cash Flow.pdf,Uncategorized; ไม่ระบุบริษัท,12,,"Row 2, Col 0: การปรับปรุงด วยค่าใช จ่ายภาษี เงินได..."
กําไรจากกิจกรรมดําเนินงาน ก่อนการเปลียนแปลงใน สินทรัพย์และหนีสินดําเนินงาน,12,,HIGH_MULTI_FILE,,needs_manual_review,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_Cash Flow.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_Cash Flow.pdf; บริษัท ไทจีนิค จำกัด_Cash Flow.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_Cash Flow.pdf,Uncategorized; ไม่ระบุบริษัท,12,,"Row 4, Col 0: กําไรจากกิจกรรมดําเนินงาน ก่อนการเปลียนแปลงใน สินท..."
กําไรจากกิจกรรมดําเนินงาน ก่อนการเปลียนแปลงใน สินทรัพย์และหนีสินดําเนิน งาน,9,,HIGH_MULTI_FILE,,needs_manual_review,บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_Cash Flow.pdf; บริษัท ภัทรมารีน จำกัด_Cash Flow.pdf; บริษัท วัฒนาวิชั่นกรุ๊ป จำกัด_Cash Flow.pdf; บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_Cash Flow.pdf,Uncategorized; ไม่ระบุบริษัท,9,,"Row 4, Col 0: กําไรจากกิจกรรมดําเนินงาน ก่อนการเปลียนแปลงใน สินท..."
ข้อมูลเพิมเติมในส่วนของผู้,9,,HIGH_MULTI_FILE,ข้อมูลเพิ่มเติมในส่วนของผู้,dictionary_character_fix,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_Compare BS.pdf; บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_Compare BS.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_Compare BS.pdf,Uncategorized; ไม่ระบุบริษัท,9,,"Row 9, Col 0: ข้อมูลเพิมเติมในส่วนของผู้..."
เดิม,8,,HIGH_MULTI_FILE,,needs_manual_review,บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_Gen Info.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_Gen Info.pdf; บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_Gen Info.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,8,,"Row 2, Col 0: เลขทะเบียนนิติบุคคล ( เดิม ):..."
เอ็ม,7,,HIGH_MULTI_FILE,,needs_manual_review,บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_Related.pdf,Uncategorized; ไม่ระบุบริษัท,7,,"Row 1, Col 1: ที . เอ็ม . อินดัสตรี ( บจก .)..."
กําไรจากกิจกรรมดําเนินงาน ก่อนการเปลียนแปลงใน สินทรัพย์และหนีสินดําเนิน,6,,HIGH_MULTI_FILE,,needs_manual_review,บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_Cash Flow.pdf; ใบตาล เทอร์บายน์ จำกัด_Cash Flow.pdf,Uncategorized; ไม่ระบุบริษัท,6,,"Row 4, Col 0: กําไรจากกิจกรรมดําเนินงาน ก่อนการเปลียนแปลงใน สินท..."
ถือหุ้น,6,,HIGH_MULTI_FILE,ถือหุ้น,dictionary_character_fix,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_Compare BS.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_Compare BS.pdf,Uncategorized; ไม่ระบุบริษัท,6,,"Row 10, Col 0: ถือหุ้น..."
หจก,6,,HIGH_MULTI_FILE,,needs_manual_review,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_Related.pdf; ใบตาล เทอร์บายน์ จำกัด_Related.pdf,Uncategorized; ไม่ระบุบริษัท,6,,"Row 1, Col 1: นันทศรี ซีวิลเวอร์ค ( หจก .)..."
ผู้ตรวจสอบบัญชี จันทร์เพ็ญ เตชะกําธร 31/05/2568,5,,HIGH_MULTI_FILE,ผู้ตรวจสอบบัญชี: จันทร์เพ็ญ เตชะกําธร 31/05/2568,dictionary_spacing,บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_BS67.pdf,Uncategorized; ไม่ระบุบริษัท,5,,"Row 0, Col 1: ผู้ตรวจสอบบัญชี จันทร์เพ็ญ เตชะกําธร 31/05/2568..."
การผลิตผลิตภัณฑ์โลหะประดิษฐ์อืนๆซึงมิได จัด ประเภทไว้ ในทีอืน,4,,HIGH_MULTI_FILE,,needs_manual_review,บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,4,,"Row 9, Col 1: ( ล่าสุด ) 1. การผลิตผลิตภัณฑ์โลหะประดิษฐ์อืนๆซึงม..."
การผลิตเหล็กและเหล็กกล าขันมูลฐานอืน ๆ ซึงมิได จัดประเภทไว ในทีอืน,4,,HIGH_MULTI_FILE,,needs_manual_review,บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,4,,"Row 9, Col 1: ( ล่าสุด ) 1. การผลิตเหล็กและเหล็กกล าขันมูลฐานอืน..."
การเช่าและการดําเนินการเกียวกับอสังหาริมทรัพย์ ทีเป็นของ ตนเองหรือเช่าจากผู้ อืนทีไม่ใช่เพือเป ็นทีพักอาศัย,4,,HIGH_MULTI_FILE,,needs_manual_review,บริษัท วัฒนาวิชั่นกรุ๊ป จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,4,,"Row 9, Col 1: ( ล่าสุด ) 1. การเช่าและการดําเนินการเกียวกับอสังห..."
การเช่าและการดําเนินการเกียวกับอสังหาริมทรัพย์ที เป็นของ ตนเองหรือเช่าจากผู้ อืนทีไม่ใช่เพือเป ็นทีพักอาศัย,4,,HIGH_MULTI_FILE,,needs_manual_review,บริษัท วัฒนาวิชั่นกรุ๊ป จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,4,,"Row 10, Col 1: ( ล่าสุด ) การเช่าและการดําเนินการเกียวกับอสังหาริ..."
กิจกรรมการบริการอืนๆทีสนับสนุนการขนส่งทาง บก ซึงมิได จัดประเภทไว ในทีอืน,4,,HIGH_MULTI_FILE,,needs_manual_review,บริษัท ภัทรมารีน จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,4,,"Row 8, Col 1: ( ล่าสุด ) 1. กิจกรรมการบริการอืนๆทีสนับสนุนการขนส..."
กิจการรับจ างประกอบและผลิตเครืองจักร เครืองยนต์ ยาน พาหนะ รถพ่วง,4,,HIGH_MULTI_FILE,,needs_manual_review,บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,4,,"Row 10, Col 1: ( ล่าสุด ) กิจการรับจ างประกอบและผลิตเครืองจักร เค..."
ทีเก็บกักนําและภาชนะบรรจุทีทํา จากโลหะ ซึงมิได จัดประเภท ไว ในทีอืน,4,,HIGH_MULTI_FILE,,needs_manual_review,บริษัท ไทจีนิค จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,4,,"Row 8, Col 1: ( ล่าสุด ) 1. การผลิตถังนําขนาดใหญ่ ( ทีมีความจุเก..."
39/4 ซอยบางนา - ตราด 25 ถนนบางนาตราด แขวงบางนา เขตบางนา จังหวัดกรุงเทพมหานคร 10260,3,,HIGH_MULTI_FILE,,needs_manual_review,บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,3,,"Row 6, Col 1: 39/4 ซอยบางนา - ตราด 25 ถนนบางนาตราด แขวงบางนา เขต..."
